year,crime_count
2001,480118
2002,478899
2003,467232
2004,461127
2005,446438
2006,439462
2007,427636
2008,416869
2009,384917
2010,365442
2011,347465
2012,331961
2013,303636
2014,272895
2015,261972
2016,266448
2017,265450
2018,265078
2019,257876
2020,207782
2021,201780
2022,227672
2023,253611
2024,249744
2025,227636
2026,16858
,167082
