date,crime_type,crime_count
2025-05-01T00:00:00Z,THEFT,4652
2025-05-01T00:00:00Z,ROBBERY,531
2025-05-01T00:00:00Z,NARCOTICS,660
2025-04-01T00:00:00Z,DECEPTIVE PRACTICE,1066
2025-04-01T00:00:00Z,CRIMINAL DAMAGE,2152
2025-04-01T00:00:00Z,OTHER OFFENSE,1441
2025-04-01T00:00:00Z,BURGLARY,681
2025-04-01T00:00:00Z,ASSAULT,1888
2025-04-01T00:00:00Z,BATTERY,3462
2025-04-01T00:00:00Z,MOTOR VEHICLE THEFT,1275
2025-04-01T00:00:00Z,THEFT,4355
2025-04-01T00:00:00Z,NARCOTICS,640
2025-04-01T00:00:00Z,ROBBERY,419
2025-03-01T00:00:00Z,ASSAULT,1721
2025-03-01T00:00:00Z,CRIMINAL DAMAGE,2090
2025-03-01T00:00:00Z,BATTERY,3532
2025-03-01T00:00:00Z,THEFT,4391
2025-03-01T00:00:00Z,ROBBERY,435
2025-03-01T00:00:00Z,MOTOR VEHICLE THEFT,1224
2025-03-01T00:00:00Z,OTHER OFFENSE,1441
2025-03-01T00:00:00Z,DECEPTIVE PRACTICE,1219
2025-03-01T00:00:00Z,NARCOTICS,701
2025-03-01T00:00:00Z,BURGLARY,571
2025-02-01T00:00:00Z,ROBBERY,403
2025-02-01T00:00:00Z,BATTERY,2721
2025-02-01T00:00:00Z,THEFT,3795
2025-02-01T00:00:00Z,ASSAULT,1407
2025-02-01T00:00:00Z,NARCOTICS,728
2025-02-01T00:00:00Z,BURGLARY,498
2025-02-01T00:00:00Z,CRIMINAL DAMAGE,1473
2025-02-01T00:00:00Z,MOTOR VEHICLE THEFT,1116
2025-02-01T00:00:00Z,OTHER OFFENSE,1264
2025-02-01T00:00:00Z,DECEPTIVE PRACTICE,1144
2025-01-01T00:00:00Z,THEFT,4145
2025-01-01T00:00:00Z,NARCOTICS,783
2025-01-01T00:00:00Z,ASSAULT,1509
2025-01-01T00:00:00Z,CRIMINAL DAMAGE,1692
2025-01-01T00:00:00Z,BURGLARY,595
2025-01-01T00:00:00Z,OTHER OFFENSE,1487
2025-01-01T00:00:00Z,BATTERY,2980
2025-01-01T00:00:00Z,MOTOR VEHICLE THEFT,1291
2025-01-01T00:00:00Z,ROBBERY,538
2025-01-01T00:00:00Z,DECEPTIVE PRACTICE,1112
2024-12-01T00:00:00Z,CRIMINAL DAMAGE,2096
2024-12-01T00:00:00Z,BATTERY,3492
2024-12-01T00:00:00Z,MOTOR VEHICLE THEFT,1413
2024-12-01T00:00:00Z,OTHER OFFENSE,1263
2024-12-01T00:00:00Z,ASSAULT,1600
2024-12-01T00:00:00Z,THEFT,4508
2024-12-01T00:00:00Z,DECEPTIVE PRACTICE,1028
2024-12-01T00:00:00Z,ROBBERY,687
2024-12-01T00:00:00Z,BURGLARY,735
2024-12-01T00:00:00Z,NARCOTICS,529
2024-11-01T00:00:00Z,CRIMINAL DAMAGE,2128
2024-11-01T00:00:00Z,THEFT,4545
2024-11-01T00:00:00Z,BATTERY,3384
2024-11-01T00:00:00Z,ASSAULT,1697
2024-11-01T00:00:00Z,MOTOR VEHICLE THEFT,1501
2024-11-01T00:00:00Z,NARCOTICS,569
2024-11-01T00:00:00Z,BURGLARY,730
2024-11-01T00:00:00Z,ROBBERY,747
2024-11-01T00:00:00Z,DECEPTIVE PRACTICE,1077
2024-11-01T00:00:00Z,OTHER OFFENSE,1177
2024-10-01T00:00:00Z,THEFT,5346
2024-10-01T00:00:00Z,CRIMINAL DAMAGE,2402
2024-10-01T00:00:00Z,ASSAULT,2109
2024-10-01T00:00:00Z,BATTERY,3869
2024-10-01T00:00:00Z,ROBBERY,767
2024-10-01T00:00:00Z,MOTOR VEHICLE THEFT,1701
2024-10-01T00:00:00Z,OTHER OFFENSE,1329
2024-10-01T00:00:00Z,DECEPTIVE PRACTICE,1204
2024-10-01T00:00:00Z,BURGLARY,802
2024-10-01T00:00:00Z,NARCOTICS,503
2024-09-01T00:00:00Z,ASSAULT,2090
2024-09-01T00:00:00Z,THEFT,5213
2024-09-01T00:00:00Z,OTHER OFFENSE,1519
2024-09-01T00:00:00Z,ROBBERY,763
2024-09-01T00:00:00Z,BURGLARY,803
2024-09-01T00:00:00Z,BATTERY,4090
2024-09-01T00:00:00Z,CRIMINAL DAMAGE,2407
2024-09-01T00:00:00Z,MOTOR VEHICLE THEFT,1810
